,Model Name,Testing MSE,Testing MSE after removing outlier,Training MSE
0,FF 3 | ReLU,0.0999085009098053,0.06530699878931046,0.016528551382097332
1,FF 3 | ELU,0.1329999566078186,0.08846384286880493,0.04195641692389141
2,FF 3 | Linear,0.14692485332489014,0.0765237957239151,0.06563777002421292
3,FF 3 | Softplus,0.07764246314764023,0.05663623288273811,0.03449148312211037
4,FF 3 | Tanh,0.15031114220619202,0.1417820155620575,0.024118583480065518
5,FF 3 | Sigmoid,0.09386462718248367,0.094825878739357,0.03148038380525329
