,Model Name,Testing MSE,MSE std,Testing MSE after removing outlier,Training MSE
0,LOOCV,0.09032760557912421,0.11501034912293522,,
1,FF | Softplus | Adamax,0.09468813240528107,,0.06535978615283966,0.03409709171815352
